,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
538,Apartamento,Recreio dos Bandeirantes,2,1,1,70,1500.0,737.0,142.0,21.43,Residencial
539,Apartamento,Tijuca,3,0,0,98,1700.0,390.0,93.0,17.35,Residencial
540,Apartamento,Andaraí,2,0,0,66,700.0,900.0,46.0,10.61,Residencial
541,Apartamento,Ipanema,3,2,1,200,6300.0,2200.0,400.0,31.5,Residencial
542,Apartamento,Pechincha,2,1,0,60,900.0,420.0,15.0,15.0,Residencial
543,Apartamento,Vila Valqueire,3,2,1,129,2200.0,755.0,195.0,17.05,Residencial
544,Apartamento,Santa Teresa,2,0,0,65,1400.0,600.0,0.0,21.54,Residencial
545,Apartamento,Leblon,4,2,2,230,17900.0,5000.0,1000.0,77.83,Residencial
546,Apartamento,Gávea,3,1,1,138,7900.0,1900.0,3418.0,57.25,Residencial
547,Apartamento,São Conrado,3,2,1,150,6500.0,1800.0,0.0,43.33,Residencial
548,Apartamento,Jacarepaguá,4,2,2,155,3000.0,1664.0,309.0,19.35,Residencial
549,Apartamento,Ipanema,3,1,0,130,8000.0,2000.0,480.0,61.54,Residencial
550,Apartamento,Botafogo,3,1,1,123,4000.0,1188.0,221.0,32.52,Residencial
551,Apartamento,Cachambi,2,0,0,50,900.0,313.0,0.0,18.0,Residencial
552,Apartamento,Botafogo,1,0,0,38,1300.0,400.0,25.0,34.21,Residencial
553,Flat,Barra da Tijuca,1,1,0,71,2700.0,1700.0,181.0,38.03,Residencial
554,Apartamento,Tijuca,2,1,0,88,1100.0,693.0,32.0,12.5,Residencial
555,Apartamento,Lins de Vasconcelos,2,0,0,50,900.0,360.0,13.0,18.0,Residencial
556,Apartamento,Recreio dos Bandeirantes,3,1,1,80,1700.0,900.0,195.0,21.25,Residencial
557,Apartamento,Copacabana,1,0,0,36,1700.0,632.0,69.0,47.22,Residencial
558,Apartamento,Campo Grande,2,1,0,70,750.0,330.0,0.0,10.71,Residencial
559,Quitinete,Copacabana,1,0,0,30,1150.0,450.0,30.0,38.33,Residencial
560,Apartamento,Tijuca,2,0,1,80,1300.0,0.0,82.0,16.25,Residencial
561,Apartamento,Freguesia (Jacarepaguá),1,1,0,49,850.0,590.0,37.0,17.35,Residencial
562,Apartamento,Copacabana,1,0,0,37,2200.0,555.0,70.0,59.46,Residencial
563,Apartamento,Ipanema,3,1,1,126,6000.0,1667.0,590.0,47.62,Residencial
564,Apartamento,Gávea,2,1,0,63,3300.0,650.0,0.0,52.38,Residencial
565,Apartamento,Barra da Tijuca,2,1,0,74,2100.0,750.0,0.0,28.38,Residencial
566,Apartamento,Barra da Tijuca,2,1,1,70,2300.0,1000.0,80.0,32.86,Residencial
567,Apartamento,Barra da Tijuca,4,3,4,292,16000.0,5000.0,1500.0,54.79,Residencial
568,Apartamento,Barra da Tijuca,4,2,1,330,9000.0,3100.0,1085.0,27.27,Residencial
569,Apartamento,Recreio dos Bandeirantes,2,1,1,65,1800.0,560.0,0.0,27.69,Residencial
570,Casa,Campo Grande,2,0,0,70,1000.0,0.0,0.0,14.29,Residencial
571,Casa,Barra da Tijuca,4,6,2,232,6500.0,1100.0,800.0,28.02,Residencial
572,Apartamento,Flamengo,3,0,1,110,3800.0,659.0,146.0,34.55,Residencial
573,Apartamento,Botafogo,3,1,1,102,5100.0,1300.0,342.0,50.0,Residencial
574,Apartamento,Glória,1,0,0,28,1500.0,250.0,0.0,53.57,Residencial
575,Apartamento,Barra da Tijuca,2,2,1,65,1600.0,1270.0,233.0,24.62,Residencial
576,Apartamento,Engenho Novo,2,1,0,69,1250.0,600.0,0.0,18.12,Residencial
577,Apartamento,Camorim,2,1,0,48,1000.0,340.0,90.0,20.83,Residencial
578,Apartamento,Leblon,4,2,2,240,17900.0,5000.0,1000.0,74.58,Residencial
579,Apartamento,Laranjeiras,4,2,1,350,10000.0,3000.0,403.0,28.57,Residencial
580,Apartamento,Barra da Tijuca,2,1,1,87,2300.0,1482.0,251.0,26.44,Residencial
581,Apartamento,Recreio dos Bandeirantes,2,1,1,70,1500.0,800.0,130.0,21.43,Residencial
582,Apartamento,Barra da Tijuca,3,1,1,75,1900.0,750.0,60.0,25.33,Residencial
583,Apartamento,Barra da Tijuca,2,1,1,80,3500.0,1100.0,140.0,43.75,Residencial
584,Casa de Condomínio,Barra da Tijuca,5,6,5,1050,15000.0,2000.0,2000.0,14.29,Residencial
585,Apartamento,Copacabana,3,0,2,130,4000.0,950.0,200.0,30.77,Residencial
586,Apartamento,Cascadura,3,0,0,58,990.0,100.0,0.0,17.07,Residencial
587,Apartamento,Humaitá,2,1,0,72,2900.0,815.0,96.0,40.28,Residencial
588,Apartamento,Jacarepaguá,2,1,2,68,1700.0,739.0,0.0,25.0,Residencial
589,Apartamento,São Conrado,4,2,1,230,5150.0,2225.0,350.0,22.39,Residencial
