,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
367,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,38,1800.0,1145.0,275.0,47.37,Comercial
368,Conjunto Comercial/Sala,Copacabana,0,2,0,140,16500.0,4200.0,1300.0,117.86,Comercial
369,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,28,700.0,452.0,0.0,25.0,Comercial
370,Loja/Salão,Ipanema,0,0,0,33,1500.0,760.0,0.0,45.45,Comercial
371,Conjunto Comercial/Sala,Jacarepaguá,0,1,0,32,700.0,539.0,0.0,21.88,Comercial
372,Conjunto Comercial/Sala,Ipanema,0,0,0,30,1800.0,1275.0,0.0,60.0,Comercial
373,Loja/Salão,Barra da Tijuca,1,3,0,165,6900.0,1200.0,1850.0,41.82,Comercial
374,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,36,1500.0,740.0,90.0,41.67,Comercial
375,Casa Comercial,Copacabana,0,0,0,45,18000.0,550.0,390.0,400.0,Comercial
376,Conjunto Comercial/Sala,Centro,0,0,0,104,7400.0,3200.0,368.0,71.15,Comercial
377,Loja/Salão,Barra da Tijuca,0,1,0,27,1200.0,695.0,50.0,44.44,Comercial
378,Conjunto Comercial/Sala,Centro,0,0,0,60,950.0,1366.0,0.0,15.83,Comercial
379,Conjunto Comercial/Sala,Campo Grande,0,1,0,24,850.0,500.0,160.0,35.42,Comercial
380,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,38,1400.0,500.0,0.0,36.84,Comercial
381,Galpão/Depósito/Armazém,Parada de Lucas,0,2,0,631,8000.0,0.0,554.0,12.68,Comercial
382,Conjunto Comercial/Sala,Del Castilho,0,1,0,29,1100.0,505.0,0.0,37.93,Comercial
383,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,58,1900.0,1273.0,403.0,32.76,Comercial
384,Conjunto Comercial/Sala,Centro,0,0,0,350,28000.0,5000.0,0.0,80.0,Comercial
385,Conjunto Comercial/Sala,Centro,0,0,0,73,1565.0,2814.0,86.0,21.44,Comercial
386,Loja/Salão,Centro,0,0,0,532,50000.0,5580.0,7221.0,93.98,Comercial
387,Loja/Salão,Botafogo,0,5,0,400,40000.0,986.0,2034.0,100.0,Comercial
388,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,70,3500.0,1460.0,0.0,50.0,Comercial
389,Conjunto Comercial/Sala,Centro,0,5,0,1306,97953.0,22203.0,4101.0,75.0,Comercial
390,Loja/Salão,Copacabana,0,0,0,55,6000.0,0.0,400.0,109.09,Comercial
391,Conjunto Comercial/Sala,Centro,0,0,0,375,20625.0,5950.0,2022.0,55.0,Comercial
392,Conjunto Comercial/Sala,Del Castilho,0,1,0,30,1300.0,750.0,34.0,43.33,Comercial
393,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,35,1700.0,280.0,0.0,48.57,Comercial
394,Conjunto Comercial/Sala,Centro,0,0,0,66,2500.0,1922.0,335.0,37.88,Comercial
395,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,32,800.0,1200.0,150.0,25.0,Comercial
396,Conjunto Comercial/Sala,Barra da Tijuca,0,6,0,219,15000.0,7420.0,1600.0,68.49,Comercial
397,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,24,0,1473,73650.0,22659.0,9661.0,50.0,Comercial
398,Conjunto Comercial/Sala,Tijuca,0,0,0,30,399.0,680.0,30.0,13.3,Comercial
399,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,36,1500.0,1300.0,280.0,41.67,Comercial
400,Loja/Salão,Copacabana,0,0,0,400,62000.0,2200.0,16174.0,155.0,Comercial
401,Loja/Salão,Tijuca,0,5,0,262,28000.0,2737.0,1595.0,106.87,Comercial
402,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,32,600.0,919.0,119.0,18.75,Comercial
403,Casa Comercial,Engenho Novo,0,0,0,148,3500.0,260.0,0.0,23.65,Comercial
404,Casa Comercial,Centro,0,0,0,150,11000.0,0.0,864.0,73.33,Comercial
405,Conjunto Comercial/Sala,Tijuca,0,0,0,24,900.0,385.0,0.0,37.5,Comercial
406,Loja/Salão,Barra da Tijuca,0,1,0,56,3500.0,530.0,0.0,62.5,Comercial
407,Casa Comercial,Lagoa,4,0,0,241,14000.0,0.0,2195.0,58.09,Comercial
408,Conjunto Comercial/Sala,Santo Cristo,0,1,0,42,1200.0,850.0,0.0,28.57,Comercial
409,Loja/Salão,Centro,0,0,0,320,45000.0,0.0,2250.0,140.62,Comercial
410,Conjunto Comercial/Sala,Centro,0,0,0,28,400.0,550.0,79.0,14.29,Comercial
411,Conjunto Comercial/Sala,Leblon,0,0,0,300,60000.0,3000.0,1960.0,200.0,Comercial
412,Conjunto Comercial/Sala,Barra da Tijuca,0,0,0,5,299.0,0.0,0.0,59.8,Comercial
413,Conjunto Comercial/Sala,Centro,0,0,0,93,2000.0,840.0,0.0,21.51,Comercial
414,Conjunto Comercial/Sala,Centro,0,0,0,560,50405.0,15516.0,2048.0,90.01,Comercial
415,Conjunto Comercial/Sala,Botafogo,0,8,0,425,27000.0,11809.0,1940.0,63.53,Comercial
416,Galpão/Depósito/Armazém,Olaria,0,0,0,600,8000.0,0.0,500.0,13.33,Comercial
417,Loja/Salão,Tijuca,0,0,0,150,7800.0,0.0,0.0,52.0,Comercial
